test_index,total_responses,correct_responses,correct_after_revision,final_answer_accuracy,self_revision_rate,perplexity_per_language,logical_errors,numerical_errors,revision_attempts
57,11,8,2,0.9090909090909091,0.6666666666666666,"{'en': 36.22754732640923, 'es': 28.71173746026731, 'fr': 29.392870116006517, 'de': 33.5766951494143, 'ru': 30.631403317472824, 'zh': 10.964912543382482, 'ja': 10.598750218734663, 'th': 35.24843393550829, 'sw': 23.95274221169992, 'bn': 51.64661981444256, 'te': 35.5039816532852, 'avg': 29.67779034060212}",['te'],['te'],"{'th': 0, 'bn': 0}"
58,11,3,1,0.36363636363636365,0.125,"{'en': 32.29903391314861, 'es': 33.56048667198271, 'fr': 34.491071331024095, 'de': 28.443928248840436, 'ru': 73.25982914157423, 'zh': 11.685062651542049, 'ja': 15.273031734534415, 'th': 9.576023033830838, 'sw': 24.39293670106324, 'bn': 40.60602411053534, 'te': 39.78272232514545, 'avg': 31.215468169383765}","['fr', 'de', 'ja', 'th', 'sw', 'bn', 'te']","['fr', 'de', 'ja', 'th', 'sw', 'bn', 'te']",{'ru': 0}
59,11,0,7,0.6363636363636364,0.6363636363636364,"{'en': 19.61261704168079, 'es': 36.51549273141427, 'fr': 60.73716035149322, 'de': 76.32746485892424, 'ru': 93.95930458804968, 'zh': 26.917813025262344, 'ja': 28.682369387319206, 'th': 9.920707822860292, 'sw': 51.49427500209344, 'bn': 49.21507243383718, 'te': 53.18799466170223, 'avg': 46.05184290042154}","['en', 'es', 'th', 'bn']","['en', 'es', 'th', 'bn']","{'fr': 0, 'de': 0, 'ru': 0, 'zh': 0, 'ja': 0, 'sw': 1, 'te': 3}"
60,11,8,1,0.8181818181818182,0.3333333333333333,"{'en': 30.452924038050277, 'es': 32.263424712997335, 'fr': 30.3782994738652, 'de': 24.592588602612565, 'ru': 25.743683481679906, 'zh': 12.46856844214182, 'ja': 7.536930415960681, 'th': 21.28686927972972, 'sw': 29.43914781905452, 'bn': 23.732691293425628, 'te': 20.634484796817954, 'avg': 23.502692032394148}","['bn', 'te']","['bn', 'te']",{'th': 1}
61,11,0,3,0.2727272727272727,0.2727272727272727,"{'en': 40.822594241631144, 'es': 28.93935145480171, 'fr': 64.17307101906844, 'de': 39.894006845203776, 'ru': 31.35699485942791, 'zh': 7.025610494257323, 'ja': 11.951934751093752, 'th': 41.742033344470045, 'sw': 16.52231585622825, 'bn': 67.41874274820935, 'te': 37.906819258058775, 'avg': 35.250315897495504}","['en', 'es', 'de', 'ru', 'zh', 'ja', 'sw', 'te']","['en', 'es', 'de', 'ru', 'zh', 'ja', 'sw', 'te']","{'fr': 0, 'th': 1, 'bn': 0}"
62,11,3,5,0.7272727272727273,0.625,"{'en': 40.497720629546876, 'es': 31.328714143232773, 'fr': 80.3109931995549, 'de': 64.11580125277699, 'ru': 63.450738477364034, 'zh': 14.792994202245147, 'ja': 34.6400581281892, 'th': 14.173891961342397, 'sw': 53.04237509128122, 'bn': 36.683258708526964, 'te': 28.76261524454909, 'avg': 41.981741912600874}","['th', 'bn', 'te']","['th', 'bn', 'te']","{'fr': 1, 'de': 0, 'ru': 0, 'ja': 0, 'sw': 0}"
63,11,0,0,0.0,0.0,"{'en': 51.64530642289528, 'es': 30.233205611687268, 'fr': 57.32337939092499, 'de': 23.844948479542843, 'ru': 48.50924856809701, 'zh': 8.423456395952961, 'ja': 14.983807338795852, 'th': 12.360305277567006, 'sw': 18.84006725035378, 'bn': 31.22520656669769, 'te': 23.760308858152506, 'avg': 29.195385469151564}","['en', 'es', 'fr', 'de', 'ru', 'zh', 'ja', 'th', 'sw', 'bn', 'te']","['en', 'es', 'fr', 'de', 'ru', 'zh', 'ja', 'th', 'sw', 'bn', 'te']",{}
64,11,0,3,0.2727272727272727,0.2727272727272727,"{'en': 48.986093261267655, 'es': 75.55908895528056, 'fr': 54.66953575741397, 'de': 28.361648648046522, 'ru': 48.301088638897646, 'zh': 23.65407960289677, 'ja': 27.097108666253053, 'th': 10.929928550179941, 'sw': 64.19649881634993, 'bn': 39.9221515144971, 'te': 37.88692387747065, 'avg': 41.77855875350489}","['en', 'fr', 'de', 'ru', 'zh', 'th', 'bn', 'te']","['en', 'fr', 'de', 'ru', 'zh', 'th', 'bn', 'te']","{'es': 0, 'ja': 0, 'sw': 0}"
65,11,2,1,0.2727272727272727,0.1111111111111111,"{'en': 40.25987673061438, 'es': 37.845098473991996, 'fr': 58.81210159049906, 'de': 35.008648526732024, 'ru': 64.35196616595427, 'zh': 18.989989429329423, 'ja': 8.342157232855673, 'th': 10.401960023958639, 'sw': 22.31778528138428, 'bn': 46.414970822198505, 'te': 94.440489575196, 'avg': 39.744094895701295}","['es', 'fr', 'zh', 'ja', 'th', 'sw', 'bn', 'te']","['es', 'fr', 'zh', 'ja', 'th', 'sw', 'bn', 'te']",{'ru': 0}
66,11,4,2,0.5454545454545454,0.2857142857142857,"{'en': 38.385565607488374, 'es': 40.393426080849466, 'fr': 40.14107677663518, 'de': 36.277528299665505, 'ru': 70.67157096594241, 'zh': 15.054406116399726, 'ja': 31.462798969839714, 'th': 11.173527558061402, 'sw': 48.23890111520319, 'bn': 33.78157301012524, 'te': 22.87005862128453, 'avg': 35.3136757383177}","['fr', 'th', 'sw', 'bn', 'te']","['fr', 'th', 'sw', 'bn', 'te']","{'ru': 0, 'ja': 0}"
67,11,1,3,0.36363636363636365,0.3,"{'en': 42.789884692096656, 'es': 32.605810774691975, 'fr': 62.90131087848335, 'de': 24.71116756223364, 'ru': 62.475925517682406, 'zh': 30.15382217264479, 'ja': 28.635379425047496, 'th': 11.190264923049801, 'sw': 62.34301315607038, 'bn': 52.04331520875497, 'te': 43.192531966350685, 'avg': 41.185675116100555}","['es', 'fr', 'de', 'ja', 'th', 'bn', 'te']","['es', 'fr', 'de', 'ja', 'th', 'bn', 'te']","{'ru': 0, 'zh': 1, 'sw': 0}"
68,11,6,1,0.6363636363636364,0.2,"{'en': 20.929486912287924, 'es': 32.87704011110386, 'fr': 20.480773998388795, 'de': 19.342258772823747, 'ru': 28.284271247461906, 'zh': 14.253750678818658, 'ja': 8.848749528710837, 'th': 12.919230145710108, 'sw': 61.403728433895736, 'bn': 45.3296897225773, 'te': 41.56903749724306, 'avg': 27.839819731729268}","['ja', 'th', 'bn', 'te']","['ja', 'th', 'bn', 'te']",{'sw': 0}
69,11,7,3,0.9090909090909091,0.75,"{'en': 32.13494310794733, 'es': 30.389970493762405, 'fr': 37.09070656685588, 'de': 26.738768688204527, 'ru': 35.761342119855506, 'zh': 16.262365158655424, 'ja': 17.591933957503937, 'th': 25.30281963343308, 'sw': 42.958736337493264, 'bn': 48.81266855023361, 'te': 42.82943236998631, 'avg': 32.35215336217557}",['te'],['te'],"{'th': 0, 'sw': 0, 'bn': 0}"
70,11,9,1,0.9090909090909091,0.5,"{'en': 28.867334459106964, 'es': 34.50559582330672, 'fr': 39.87454781332144, 'de': 34.60708449981345, 'ru': 33.64144710644358, 'zh': 15.71053809700819, 'ja': 15.430391691355307, 'th': 14.782599361643342, 'sw': 27.032416301024046, 'bn': 52.72611681499582, 'te': 22.87996912113537, 'avg': 29.096185553559476}",['te'],['te'],{'bn': 0}
71,11,0,0,0.0,0.0,"{'en': 36.207640348887985, 'es': 27.039459979210452, 'fr': 59.57663215044948, 'de': 21.422934802653668, 'ru': 39.04671165289897, 'zh': 21.120486646313356, 'ja': 17.424167791139038, 'th': 17.7788040407428, 'sw': 18.99438315784402, 'bn': 34.524040007347956, 'te': 36.65294202563289, 'avg': 29.980745691192784}","['en', 'es', 'fr', 'de', 'ru', 'zh', 'ja', 'th', 'sw', 'bn', 'te']","['en', 'es', 'fr', 'de', 'ru', 'zh', 'ja', 'th', 'sw', 'bn', 'te']",{}
72,11,8,3,1.0,1.0,"{'en': 39.46439025294608, 'es': 30.29545822632082, 'fr': 31.55298979916372, 'de': 31.6951222974749, 'ru': 30.003767653973565, 'zh': 11.896534425828465, 'ja': 7.715195845677654, 'th': 30.733591956931825, 'sw': 29.212674215760334, 'bn': 54.17345323638476, 'te': 46.491973620009304, 'avg': 31.20319559367922}",[],[],"{'th': 0, 'bn': 0, 'te': 0}"
73,11,4,5,0.8181818181818182,0.7142857142857143,"{'en': 31.093970358612594, 'es': 33.36617489848324, 'fr': 32.463346214882904, 'de': 10.010247988217717, 'ru': 56.32651167823334, 'zh': 24.381343661904335, 'ja': 15.729686560756384, 'th': 32.86688762173433, 'sw': 42.70293710098779, 'bn': 60.24723974585207, 'te': 34.502177084665774, 'avg': 33.97186571948459}","['de', 'te']","['de', 'te']","{'ru': 0, 'zh': 0, 'th': 0, 'sw': 0, 'bn': 0}"
74,11,4,3,0.6363636363636364,0.42857142857142855,"{'en': 42.667362050131004, 'es': 62.5714964472959, 'fr': 40.99247190878976, 'de': 34.778819680725086, 'ru': 63.53215103709703, 'zh': 18.57204803355062, 'ja': 36.05001850443321, 'th': 10.064969182653597, 'sw': 54.35751970948929, 'bn': 34.91655034397248, 'te': 36.836556275556845, 'avg': 39.57636028851771}","['es', 'th', 'bn', 'te']","['es', 'th', 'bn', 'te']","{'ru': 0, 'ja': 0, 'sw': 0}"
75,11,8,0,0.7272727272727273,0.0,"{'en': 71.22145929363096, 'es': 23.229974599924994, 'fr': 24.29125393526919, 'de': 23.885389256134175, 'ru': 20.289799797361002, 'zh': 14.131952022639737, 'ja': 8.999999999999998, 'th': 12.46856844214182, 'sw': 67.61575023112272, 'bn': 20.18151396608915, 'te': 89.38354423299795, 'avg': 34.15447325248288}","['en', 'sw', 'te']","['en', 'sw', 'te']",{}
76,11,0,0,0.0,0.0,"{'en': 72.04643821887397, 'es': 34.53617475329279, 'fr': 57.08184249727197, 'de': 62.0357542410725, 'ru': 40.327643342208454, 'zh': 15.62283028661297, 'ja': 16.326606229725694, 'th': 10.563511926936659, 'sw': 23.89109898465025, 'bn': 62.16923128415447, 'te': 47.89287985351021, 'avg': 40.22672832893727}","['en', 'es', 'fr', 'de', 'ru', 'zh', 'ja', 'th', 'sw', 'bn', 'te']","['en', 'es', 'fr', 'de', 'ru', 'zh', 'ja', 'th', 'sw', 'bn', 'te']",{}
77,11,0,6,0.5454545454545454,0.5454545454545454,"{'en': 56.96415626293229, 'es': 74.36600759456911, 'fr': 72.81424994186288, 'de': 73.51649707182624, 'ru': 43.82085088913684, 'zh': 37.51877541365986, 'ja': 7.829491238160596, 'th': 12.833157298281876, 'sw': 52.55712665301244, 'bn': 32.73443254610985, 'te': 40.21096158472017, 'avg': 45.92415513584292}","['ru', 'th', 'sw', 'bn', 'te']","['ru', 'th', 'sw', 'bn', 'te']","{'en': 1, 'es': 0, 'fr': 0, 'de': 0, 'zh': 0, 'ja': 2}"
78,11,10,1,1.0,1.0,"{'en': 31.656736995099678, 'es': 31.187651356388713, 'fr': 30.781322316488932, 'de': 28.7824611975428, 'ru': 26.343027766865436, 'zh': 11.492108303570625, 'ja': 25.48860629486876, 'th': 10.503129936189447, 'sw': 29.498467145161786, 'bn': 14.724838672758073, 'te': 8.549234549740058, 'avg': 22.637053139515846}",[],[],{'ja': 0}
79,11,3,2,0.45454545454545453,0.25,"{'en': 35.74539204451023, 'es': 23.259466264831985, 'fr': 58.204982597487984, 'de': 23.267437376029342, 'ru': 34.532065535636484, 'zh': 38.06120211020209, 'ja': 12.0, 'th': 33.92295735685915, 'sw': 38.238572182186275, 'bn': 42.42382796336725, 'te': 33.78717639826015, 'avg': 33.94937089357918}","['es', 'fr', 'ru', 'sw', 'bn', 'te']","['es', 'fr', 'ru', 'sw', 'bn', 'te']","{'zh': 1, 'th': 1}"
80,11,7,3,0.9090909090909091,0.75,"{'en': 16.682481965480523, 'es': 30.615289794459414, 'fr': 28.464167242514517, 'de': 19.450396754279936, 'ru': 15.033516482571027, 'zh': 18.495286814336843, 'ja': 21.455145755898897, 'th': 25.76784531118807, 'sw': 23.793068851656923, 'bn': 22.37562677319932, 'te': 58.4767451015788, 'avg': 25.509960986105842}",['zh'],['zh'],"{'ja': 0, 'th': 0, 'te': 0}"
81,11,4,5,0.8181818181818182,0.7142857142857143,"{'en': 35.859899594221744, 'es': 25.16759686413255, 'fr': 27.539970720140136, 'de': 29.46699590157158, 'ru': 59.787265937972144, 'zh': 21.76374007962698, 'ja': 30.520085168847, 'th': 30.764945220391574, 'sw': 44.20373450212909, 'bn': 50.76335878434492, 'te': 37.77765277156968, 'avg': 35.78320414044976}","['zh', 'te']","['zh', 'te']","{'ru': 0, 'ja': 0, 'th': 0, 'sw': 0, 'bn': 0}"
82,11,3,5,0.7272727272727273,0.625,"{'en': 38.06120211020209, 'es': 71.00002268371354, 'fr': 79.3988482865217, 'de': 36.88819091741726, 'ru': 57.905923717555815, 'zh': 28.249669297160487, 'ja': 25.53891227108627, 'th': 26.78707572838751, 'sw': 23.20375250151067, 'bn': 32.03203168834695, 'te': 30.831718492971337, 'avg': 40.89975888135215}","['fr', 'bn', 'te']","['fr', 'bn', 'te']","{'es': 0, 'ru': 0, 'zh': 0, 'ja': 0, 'th': 0}"
83,11,6,3,0.8181818181818182,0.6,"{'en': 27.427974301319907, 'es': 28.7824611975428, 'fr': 24.919817415037443, 'de': 29.505707671681627, 'ru': 37.64813813940073, 'zh': 18.486627926518285, 'ja': 13.31076574998824, 'th': 21.94077418224635, 'sw': 11.883407504269718, 'bn': 39.50217707597089, 'te': 23.76942001175146, 'avg': 25.19793374324795}","['sw', 'te']","['sw', 'te']","{'ru': 0, 'th': 1, 'bn': 0}"
84,11,8,2,0.9090909090909091,0.6666666666666666,"{'en': 26.577967776897836, 'es': 27.558615789887558, 'fr': 27.17045287530262, 'de': 26.378665126269226, 'ru': 25.457478105341284, 'zh': 12.680131299694695, 'ja': 1.0, 'th': 30.357174592206366, 'sw': 29.81886488837362, 'bn': 44.67581814190143, 'te': 23.2174267506552, 'avg': 24.99023594059362}",['te'],['te'],"{'th': 0, 'bn': 0}"
85,11,0,7,0.6363636363636364,0.6363636363636364,"{'en': 55.72042572492261, 'es': 24.8664732724816, 'fr': 40.53974854919946, 'de': 61.08071023138602, 'ru': 62.303582469107994, 'zh': 26.226425902548076, 'ja': 33.56203849094797, 'th': 25.22604362551632, 'sw': 38.66294333142885, 'bn': 25.804827594096455, 'te': 31.000938077813377, 'avg': 38.63583247904079}","['es', 'fr', 'bn', 'te']","['es', 'fr', 'bn', 'te']","{'en': 0, 'de': 0, 'ru': 1, 'zh': 0, 'ja': 0, 'th': 0, 'sw': 0}"
86,11,5,1,0.5454545454545454,0.16666666666666666,"{'en': 20.18151396608915, 'es': 35.09993364048521, 'fr': 49.24583387864269, 'de': 65.49302023607613, 'ru': 31.895173156454096, 'zh': 8.566886685790198, 'ja': 14.44170050170092, 'th': 39.11798232022369, 'sw': 27.108021642852187, 'bn': 42.4310238036404, 'te': 61.38534820736642, 'avg': 35.90603982175646}","['fr', 'de', 'zh', 'bn', 'te']","['fr', 'de', 'zh', 'bn', 'te']",{'th': 0}
87,11,4,3,0.6363636363636364,0.42857142857142855,"{'en': 27.359276404218324, 'es': 30.46360916487249, 'fr': 27.607068906184953, 'de': 35.18764341039388, 'ru': 31.07973381428724, 'zh': 20.29382921719378, 'ja': 8.948078519124534, 'th': 36.04974708072244, 'sw': 19.921157121524583, 'bn': 73.95111736065624, 'te': 50.60693113149502, 'avg': 32.86074473915214}","['de', 'ja', 'sw', 'te']","['de', 'ja', 'sw', 'te']","{'zh': 1, 'th': 0, 'bn': 0}"
88,11,0,0,0.0,0.0,"{'en': 61.59351450805844, 'es': 38.52480225541844, 'fr': 73.27967123272857, 'de': 80.25324904507181, 'ru': 41.139948136565195, 'zh': 23.484196999103386, 'ja': 19.85781469849977, 'th': 9.908264906016624, 'sw': 23.954312482449645, 'bn': 63.435391329787734, 'te': 58.86814027563762, 'avg': 44.93630053357611}","['en', 'es', 'fr', 'de', 'ru', 'zh', 'ja', 'th', 'sw', 'bn', 'te']","['en', 'es', 'fr', 'de', 'ru', 'zh', 'ja', 'th', 'sw', 'bn', 'te']",{}
89,11,3,7,0.9090909090909091,0.875,"{'en': 56.62608144391468, 'es': 33.21264439092902, 'fr': 62.95804846842269, 'de': 53.13222195398505, 'ru': 32.998433937880236, 'zh': 13.302824488334585, 'ja': 21.44310820805792, 'th': 7.135242690016326, 'sw': 53.30668129101162, 'bn': 57.36425401479295, 'te': 35.317685095807576, 'avg': 38.79974781665024}",['th'],['th'],"{'en': 0, 'fr': 1, 'de': 0, 'ja': 1, 'sw': 0, 'bn': 3, 'te': 0}"
90,11,2,2,0.36363636363636365,0.2222222222222222,"{'en': 62.315602074197464, 'es': 19.195448858288195, 'fr': 44.772942994720275, 'de': 19.10318180490507, 'ru': 33.118579395311386, 'zh': 11.367874248827988, 'ja': 21.915519726521964, 'th': 15.060842969340804, 'sw': 16.421125399236274, 'bn': 32.35393277178312, 'te': 27.662617752350666, 'avg': 27.571606181407564}","['fr', 'de', 'ru', 'th', 'sw', 'bn', 'te']","['fr', 'de', 'ru', 'th', 'sw', 'bn', 'te']","{'en': 1, 'ja': 0}"
91,11,3,6,0.8181818181818182,0.75,"{'en': 28.889390672690507, 'es': 29.395025774874384, 'fr': 61.253530647276435, 'de': 70.31669885231334, 'ru': 21.51593296234172, 'zh': 16.60632219546452, 'ja': 22.276632722415417, 'th': 37.264058167453776, 'sw': 61.50059923743998, 'bn': 57.303969792633076, 'te': 88.69797900755817, 'avg': 45.00183091204194}","['es', 'te']","['es', 'te']","{'fr': 0, 'de': 0, 'ja': 0, 'th': 0, 'sw': 0, 'bn': 0}"
92,11,3,1,0.36363636363636365,0.125,"{'en': 36.931183736520126, 'es': 41.30367542250812, 'fr': 25.37663253595214, 'de': 21.088913266447463, 'ru': 33.09406058284588, 'zh': 19.93717743162655, 'ja': 29.62595344224607, 'th': 10.662676954859693, 'sw': 31.77795216093662, 'bn': 43.91508485676505, 'te': 20.22466640467194, 'avg': 28.539816072307243}","['en', 'es', 'ru', 'zh', 'th', 'bn', 'te']","['en', 'es', 'ru', 'zh', 'th', 'bn', 'te']",{'ja': 0}
93,11,6,5,1.0,1.0,"{'en': 66.41562927313232, 'es': 27.47790861035145, 'fr': 45.963831555191256, 'de': 25.740870623437946, 'ru': 28.640927423519603, 'zh': 20.38166405125589, 'ja': 17.591933957503937, 'th': 23.435090965682054, 'sw': 26.376148694546604, 'bn': 57.971062447058124, 'te': 35.75576550564154, 'avg': 34.15916664612006}",[],[],"{'en': 0, 'fr': 0, 'th': 0, 'bn': 0, 'te': 0}"
94,11,5,1,0.5454545454545454,0.16666666666666666,"{'en': 40.199846016125406, 'es': 40.809751931501644, 'fr': 31.815359818192817, 'de': 58.68198606676849, 'ru': 34.66332250602324, 'zh': 15.307644897229713, 'ja': 17.015520132719516, 'th': 14.396586643716144, 'sw': 22.07225468183295, 'bn': 17.227042476160392, 'te': 27.559927678037226, 'avg': 29.068112986209773}","['fr', 'ru', 'th', 'sw', 'te']","['fr', 'ru', 'th', 'sw', 'te']",{'de': 0}
95,11,1,1,0.18181818181818182,0.1,"{'en': 34.493225148595194, 'es': 26.559381876275857, 'fr': 79.57407376720327, 'de': 26.29837075918268, 'ru': 38.29271869515133, 'zh': 38.588435105676986, 'ja': 10.585443111150303, 'th': 9.424192339732967, 'sw': 19.519239276819892, 'bn': 29.36285427965912, 'te': 46.59033382206404, 'avg': 32.66256983468288}","['es', 'fr', 'de', 'ru', 'ja', 'th', 'sw', 'bn', 'te']","['es', 'fr', 'de', 'ru', 'ja', 'th', 'sw', 'bn', 'te']",{'zh': 0}
96,11,2,5,0.6363636363636364,0.5555555555555556,"{'en': 26.02592175475766, 'es': 43.31826762252404, 'fr': 70.70808208324532, 'de': 37.53434560320341, 'ru': 42.64759322492258, 'zh': 13.83161867222592, 'ja': 21.89940140917388, 'th': 14.155914358287431, 'sw': 37.86001367162788, 'bn': 25.45266137120353, 'te': 29.18907005012906, 'avg': 32.96571725648188}","['de', 'th', 'bn', 'te']","['de', 'th', 'bn', 'te']","{'es': 0, 'fr': 0, 'ru': 0, 'ja': 0, 'sw': 1}"
97,11,11,0,1.0,0,"{'en': 16.971652070227524, 'es': 29.651240505773593, 'fr': 22.615304989368074, 'de': 33.790901603056184, 'ru': 18.50530644980962, 'zh': 11.367874248827988, 'ja': 9.697503804956234, 'th': 9.524406311809194, 'sw': 16.0428237195363, 'bn': 13.528457168325282, 'te': 9.697503804956234, 'avg': 17.399361334240567}",[],[],{}
98,11,2,1,0.2727272727272727,0.1111111111111111,"{'en': 40.82970828561211, 'es': 31.421076194016372, 'fr': 83.19688330964982, 'de': 19.07817320453314, 'ru': 55.52233808142329, 'zh': 22.179580540903792, 'ja': 8.104113487950743, 'th': 9.576023033830838, 'sw': 51.6170213931562, 'bn': 51.97677638260035, 'te': 26.764546706093732, 'avg': 36.38784005634276}","['de', 'ru', 'zh', 'ja', 'th', 'sw', 'bn', 'te']","['de', 'ru', 'zh', 'ja', 'th', 'sw', 'bn', 'te']",{'fr': 0}
99,11,10,1,1.0,1.0,"{'en': 22.058771140970325, 'es': 20.80392004791728, 'fr': 32.98769776932236, 'de': 29.726149401696787, 'ru': 24.527844761000686, 'zh': 12.337686603263526, 'ja': 29.769554460073515, 'th': 12.680131299694695, 'sw': 28.52607716154805, 'bn': 19.6584725915257, 'te': 9.697503804956234, 'avg': 22.07034627654265}",[],[],{'ja': 0}
100,11,3,5,0.7272727272727273,0.625,"{'en': 29.62142203449799, 'es': 33.462283994834166, 'fr': 62.76670748448026, 'de': 65.90501549469845, 'ru': 69.23245719558079, 'zh': 7.476165481451374, 'ja': 28.525568221537032, 'th': 10.401960023958639, 'sw': 63.136561950047735, 'bn': 62.80812137828295, 'te': 89.59037100288377, 'avg': 47.53878493293211}","['zh', 'bn', 'te']","['zh', 'bn', 'te']","{'fr': 0, 'de': 0, 'ru': 0, 'ja': 0, 'sw': 0}"
101,11,1,1,0.18181818181818182,0.1,"{'en': 28.09664852122232, 'es': 26.79418304412002, 'fr': 30.2551499439967, 'de': 49.948414250736725, 'ru': 64.10966032874364, 'zh': 22.44982381826199, 'ja': 11.424253572547267, 'th': 13.662430349512999, 'sw': 20.669252806016623, 'bn': 39.50941416746932, 'te': 84.89776965606697, 'avg': 35.619727314426775}","['es', 'fr', 'de', 'zh', 'ja', 'th', 'sw', 'bn', 'te']","['es', 'fr', 'de', 'zh', 'ja', 'th', 'sw', 'bn', 'te']",{'ru': 0}
102,11,6,2,0.7272727272727273,0.4,"{'en': 50.78260434670027, 'es': 30.19208324245013, 'fr': 35.20082926372217, 'de': 41.91611899374291, 'ru': 36.40141560006937, 'zh': 16.954742581068153, 'ja': 29.809987624728606, 'th': 33.6373430987493, 'sw': 30.770269824379742, 'bn': 29.507835398896823, 'te': 79.60590036883318, 'avg': 37.70719366757642}","['en', 'bn', 'te']","['en', 'bn', 'te']","{'ja': 0, 'th': 0}"
103,11,1,1,0.18181818181818182,0.1,"{'en': 68.74047468598583, 'es': 36.67206379349538, 'fr': 48.18162842127646, 'de': 58.44592931798474, 'ru': 35.07583608878564, 'zh': 21.066213618600276, 'ja': 15.920106781705925, 'th': 41.064262765487456, 'sw': 50.073862746264375, 'bn': 34.7052996160514, 'te': 51.987008581047746, 'avg': 41.99388058333502}","['en', 'fr', 'de', 'ru', 'zh', 'ja', 'sw', 'bn', 'te']","['en', 'fr', 'de', 'ru', 'zh', 'ja', 'sw', 'bn', 'te']",{'th': 1}
104,11,9,0,0.8181818181818182,0.0,"{'en': 25.55791311555292, 'es': 36.10491343703131, 'fr': 4.999999999999999, 'de': 30.772994910053626, 'ru': 29.071432404038067, 'zh': 10.364346599758322, 'ja': 14.167697480400376, 'th': 14.190710135717612, 'sw': 25.789678363764995, 'bn': 34.524225585033406, 'te': 13.000000000000004, 'avg': 21.685810184668238}","['ja', 'bn']","['ja', 'bn']",{}
105,11,7,2,0.8181818181818182,0.5,"{'en': 28.12265094918274, 'es': 22.445703971823573, 'fr': 27.021538388511, 'de': 22.89881527213076, 'ru': 22.775096022749597, 'zh': 20.81662105520661, 'ja': 10.503129936189447, 'th': 11.81731837237988, 'sw': 15.766525056817272, 'bn': 56.20714418902524, 'te': 11.484694984106929, 'avg': 22.714476199829367}","['th', 'sw']","['th', 'sw']","{'zh': 0, 'bn': 0}"
106,11,11,0,1.0,0,"{'en': 18.50530644980962, 'es': 17.55318214798086, 'fr': 21.455145755898897, 'de': 20.48588530176072, 'ru': 17.55318214798086, 'zh': 10.009038104159249, 'ja': 8.0, 'th': 11.606706301758292, 'sw': 21.168632809063183, 'bn': 19.611944646177918, 'te': 12.680131299694695, 'avg': 16.23901408766221}",[],[],{}
107,11,1,0,0.09090909090909091,0.0,"{'en': 44.99389226347162, 'es': 19.932207390789262, 'fr': 18.947593330829484, 'de': 55.558113062161866, 'ru': 36.84470729377843, 'zh': 23.34900546937767, 'ja': 25.99961233425982, 'th': 11.951451589084604, 'sw': 44.264150316440634, 'bn': 26.529897789064403, 'te': 23.74319555387723, 'avg': 30.192166035739547}","['en', 'es', 'de', 'ru', 'zh', 'ja', 'th', 'sw', 'bn', 'te']","['en', 'es', 'de', 'ru', 'zh', 'ja', 'th', 'sw', 'bn', 'te']",{}
108,11,2,2,0.36363636363636365,0.2222222222222222,"{'en': 69.57203207824745, 'es': 38.009173237672556, 'fr': 71.70074166900255, 'de': 30.368735625136917, 'ru': 53.87804565630541, 'zh': 10.207921831845697, 'ja': 18.84332157385407, 'th': 9.867760858338892, 'sw': 26.80469528522163, 'bn': 64.40740763388058, 'te': 89.73859303005246, 'avg': 43.945311679959836}","['en', 'es', 'de', 'ru', 'zh', 'bn', 'te']","['en', 'es', 'de', 'ru', 'zh', 'bn', 'te']","{'fr': 0, 'ja': 0}"
109,11,1,0,0.09090909090909091,0.0,"{'en': 72.80128657611756, 'es': 35.69571323329033, 'fr': 57.18453379387068, 'de': 30.180353072810032, 'ru': 57.217711309734675, 'zh': 22.442641014531286, 'ja': 9.089880094821392, 'th': 13.992360151302046, 'sw': 26.008790098705692, 'bn': 57.15288833557256, 'te': 40.812743810693696, 'avg': 38.41626377194999}","['en', 'fr', 'de', 'ru', 'zh', 'ja', 'th', 'sw', 'bn', 'te']","['en', 'fr', 'de', 'ru', 'zh', 'ja', 'th', 'sw', 'bn', 'te']",{}
110,11,3,3,0.5454545454545454,0.375,"{'en': 34.67551597139893, 'es': 30.536410411994247, 'fr': 26.194838683382617, 'de': 55.45814982909605, 'ru': 65.76373552312035, 'zh': 21.26512238336804, 'ja': 30.983249627704033, 'th': 11.558363924749237, 'sw': 29.436327814270424, 'bn': 29.777581226149106, 'te': 38.432755735645166, 'avg': 34.0074591937162}","['es', 'de', 'th', 'bn', 'te']","['es', 'de', 'th', 'bn', 'te']","{'ru': 0, 'zh': 0, 'ja': 0}"
111,11,1,0,0.09090909090909091,0.0,"{'en': 75.3630646890208, 'es': 35.06118689228378, 'fr': 51.948061405480146, 'de': 18.256434219094135, 'ru': 24.49422000313877, 'zh': 9.612466812793269, 'ja': 11.152628988861405, 'th': 9.192388155425117, 'sw': 24.236063726707226, 'bn': 46.99732426570022, 'te': 88.8405326783174, 'avg': 35.92312471243839}","['en', 'es', 'fr', 'de', 'zh', 'ja', 'th', 'sw', 'bn', 'te']","['en', 'es', 'fr', 'de', 'zh', 'ja', 'th', 'sw', 'bn', 'te']",{}
112,11,8,1,0.8181818181818182,0.3333333333333333,"{'en': 30.55935868665035, 'es': 39.3690534362909, 'fr': 82.98182557333182, 'de': 26.355825241097975, 'ru': 32.25308022387126, 'zh': 17.231174463267095, 'ja': 15.299062988964348, 'th': 11.367874248827988, 'sw': 22.242502904073355, 'bn': 12.833838270706813, 'te': 28.473718753333113, 'avg': 28.997028617310455}","['ja', 'te']","['ja', 'te']",{'fr': 0}
